id,created_at,text
1343240357170061316,2020-12-27 17:00:32,"End of Year Sale Alert 🚨 Get 25% off @KKWBEAUTY &amp; @KKWFRAGRANCE sitewide using code HOLIDAY25 at checkout on https://t.co/q8fZm9OWFU and https://t.co/xjPANH3Vpg. Exclusions apply. Offer ends Sunday, 1.03 at 11:59PM PT #KKWBEAUTY #KKWFRAGRANCE https://t.co/zDAL4FhPBb"
1342683611498045443,2020-12-26 04:08:13,"New Sunday Service Choir Music: Emmanuel 🕊🕊🕊 

https://t.co/bVGPJDijgh https://t.co/VRh9V1lxAb"
1342682288069488640,2020-12-26 04:02:57,It was perfect to dress up and celebrate w just the fam this year. I hope everyone had a healthy and happy holiday ❤️💚 https://t.co/uzbpbOK5Kr
1342682266171023360,2020-12-26 04:02:52,A special thanks to @danielroseberry @schiaparelli for my amazing gown that made me feel festive this year even though our Christmas Eve party was cancelled. https://t.co/hTOSmITT55
1342682259091025922,2020-12-26 04:02:51,Merry Christmas to all and to all a good night!  🎄 https://t.co/S6dQptLaan
1342679610643927041,2020-12-26 03:52:19,Christmas at Kourtney’s 🎄❤️💚🎄 https://t.co/y0WpcVAe5h
1342679602553118723,2020-12-26 03:52:17,Christmas at Kourtney’s 🎄❤️💚🎄 https://t.co/qQYE6sHVFU
1342679583439642626,2020-12-26 03:52:13,Christmas at Kourtney’s 🎄❤️💚🎄 https://t.co/CDhfTMQv9o
1342651408173199360,2020-12-26 02:00:15,Merry Christmas from The Grinch 💚 and Santa ❤️ https://t.co/sCfo32iqJv
1341858278653964288,2020-12-23 21:28:38,"Looking for a last-minute, easy gift? @SKIMS e-gift cards start at $25+ and only take minutes to purchase online at https://t.co/Qsy51Sl2Sd. #SKIMS https://t.co/t0ueW84Hzz"
1341858237000409096,2020-12-23 21:28:28,"Looking for a last-minute, easy gift? @KKWFRAGRANCE e-gift cards start at $30+ and only take minutes to purchase online at https://t.co/tbQezJJIwC. #KKWFRAGRANCE https://t.co/wQ9QMTU5LA"
1341858177063800833,2020-12-23 21:28:14,"Looking for a last-minute, easy gift? @kkwbeauty e-gift cards start at $30+ and only take minutes to purchase online at https://t.co/PoBZ3byUQI. #KKWBEAUTY https://t.co/OPyJpoKuUQ"
1341773932425322498,2020-12-23 15:53:29,Tahoe w the fam https://t.co/wGqU76Ci6O
1341415299191431172,2020-12-22 16:08:24,FREEZN SZN https://t.co/39sQv9Kdbf
1341081065289641985,2020-12-21 18:00:16,Hey guys! 2020 has been hard and many are worried about paying rent or putting food on their table- I want to spread the love by sending $500 to 1000 people. Send me your $cashtag below with #KKWHoliday 🎄🎁 #partner https://t.co/aHV4COQUvd
1341078711370584065,2020-12-21 17:50:55,Owner of 5 refrigerators 😂😂😂 https://t.co/Whrxd1SHBG
1341075492925927424,2020-12-21 17:38:08,Say it louder for the people in the back!!!!! 😉🤸🏼‍♂️⛷💪🏼 https://t.co/GOMXde5zSM
1341074556614635520,2020-12-21 17:34:24,💥💥💥 https://t.co/OgFtldZtCo
1341074530563989504,2020-12-21 17:34:18,⛸ https://t.co/slN3o8l7f1
1339978849405313032,2020-12-18 17:00:27,"Veneda &amp; her husband for @SKIMS BOYFRIEND!! Veneda is my stylist! We took your boyfriend’s favorite tees, tanks and boxers and made them yours. Shop now in 11 colors and in sizes XXS - 4X exclusively at https://t.co/Qsy51Sl2Sd and enjoy free shipping on domestic orders over $75. https://t.co/KN2Sx4Gslj"
1339951229296893953,2020-12-18 15:10:42,💕 https://t.co/k1Xuw6VABN
1339456262266789888,2020-12-17 06:23:53,Sleepovers with your bestie are a must!  @lala https://t.co/YUzjuJbiCE
1339450974323273730,2020-12-17 06:02:52,I am so excited to announce that @SKIMS is now available in the Middle East at https://t.co/BieqXRx5yj and on the @OUNASS app. Shop now and receive your order in 2 hours within Dubai. https://t.co/r3oF2LEgzU https://t.co/FH1ZwKM89T
1338935605867196417,2020-12-15 19:54:59,"*GIVEAWAY* My Ultimate Gift Giveaway — Win over $1,000+ worth of items from @kkwbeauty, @kkwfragrance, &amp; @SKIMS.

To learn more about the giveaway, go to @kkwbeauty, @kkwfragrance, and @SKIMS Instagram page &amp; read the caption under the #KIMSULTIMATEGIFT photo above. https://t.co/ewCKPkzmwI"
1338891745678028800,2020-12-15 17:00:42,Join the waitlist now at https://t.co/Qsy51Sl2Sd to receive early access to shop. https://t.co/7enMxXWapH
1338891587170996224,2020-12-15 17:00:04,"COMING DECEMBER 18: @SKIMS BOYFRIEND — our first unisex collection of loungewear. We took your boyfriend’s favorite tees, tanks, and boxers and made them yours with super soft jersey and classic SKIMS details. Launching in 11 colors &amp; in sizes XXS - 4X on Friday, 12.18 at 9AM PT https://t.co/GgaMl5CjKN"
1338656230957518850,2020-12-15 01:24:51,“whatever’s meant to be will be”. And her water broke the night before Mason’s bday and little Reign was born on Mason’s day! Happy Birthday to the coolest boys in the world!!!! https://t.co/z0jiudh50q
1338656144877817856,2020-12-15 01:24:30,Happy Birthday Mason and Reign. Birthday twins but 5 years apart. I remember when @kourtneykardash was pregnant with Reign and it started to get close to Mason’s bday I suggested she induce so that they don’t have the same birthday but she said her famous phrase https://t.co/l2k5eSpS3T
1338546588344528896,2020-12-14 18:09:10,It’s National Free Shipping Day!!! Today only get @kkwbeauty &amp; @KKWFRAGRANCE Free Standard Domestic Shipping with code FREESHIPPING at https://t.co/PoBZ3byUQI &amp; https://t.co/tbQezJJIwC. Ends tonight at 11:59PM PT #NationalFreeShippingDay
1338544568522977281,2020-12-14 18:01:08,Just added some new items to my #KardashianKloset ✨ Check them out now https://t.co/ipcjzvu0o6
1338531351738408963,2020-12-14 17:08:37,JUST DROPPED: @SKIMS BACKLESS SHAPEWEAR — flawless solutions that shape and enhance your curves with innovative levels of invisible sculpting support. Shop Backless Shapewear now in 5 colors and in sizes XXS - 5X and enjoy free shipping on domestic orders over $75. https://t.co/U25plDa291
1338363266171596801,2020-12-14 06:00:42,I am so excited to announce that @SKIMS will be available in the Middle East at https://t.co/BieqXRx5yj on December 17! @Ounass https://t.co/Rh7GT79Oaz
