id,created_at,text
1342529544641626112,2020-12-25 17:56:01,Merry Christmas from my ass to urs 🎄 https://t.co/YEVtUTLjDN
1337127032086392833,2020-12-10 20:08:21,"We just sold 17,000 puzzles in the first hour... hahahah what!! Oh my goodness. Thank you guys this is absolutely insane!!"
1325185067040174080,2020-11-07 21:15:15,HAHAHAHAHA https://t.co/gdSuiQlxx6
1323008052094668801,2020-11-01 21:04:34,HAHAHAHA makes sense https://t.co/3FTOLZBPXK
1322662384364785669,2020-10-31 22:11:00,"Hey guys I wanna fly one of you to hang with me and meet Leo in LA!! We want you and your friends to get out there and vote! Just use the link below to text 5 friends to vote and you'll be entered to win (post covid, of course!) Good luck!! https://t.co/Q5AVQXAO59 https://t.co/fT6tckNfIt"
1319018680215273474,2020-10-21 20:52:14,Just two immigrants tryna not get deported https://t.co/Z6RlU5D3N5
1319006282179776512,2020-10-21 20:02:58,My laptop is currently sitting in a bucket of rice hahaha https://t.co/fMjDa2Ihtz
1313942798903590912,2020-10-07 20:42:29,"We got over 120,000 people to register to vote!! Absolutely nuts ☺️ https://t.co/kMMQGULmti"
1297238881679609864,2020-08-22 18:27:05,Step brothers https://t.co/69SuHTYjE0
1286336280905895944,2020-07-23 16:24:02,ohmygadldjsguwhgwg r u kidding me!!! I just had a heart attack. My palms are sweating soo much. I love you 3000 Mr. Stark oh my god https://t.co/euCfn4XhHs
1284556368884580352,2020-07-18 18:31:18,I waited 3 months for this to come in the mail hahahah https://t.co/pd0YuSvapl
1274803422689017856,2020-06-21 20:36:35,This makes me so happy @chrisrock https://t.co/Iin4tUQZAk
1273787056481656833,2020-06-19 01:17:54,Congrats Dreamers!! They cant get rid of us yet!!!! https://t.co/xR0qfV8QjA
1269803297965129728,2020-06-08 01:27:52,@xoxabstract So so so cool. Nuts. Thank you for this!!!
1267637876419788802,2020-06-02 02:03:15,🖤🖤🖤 https://t.co/aCiC3Qqil4
1266934756253433856,2020-05-31 03:29:19,Look after one another!! https://t.co/IPfvAuYVwS
1266830321128927232,2020-05-30 20:34:19,"Sign it, donate, text it, or send it to your grandma!! https://t.co/gPvghxIt89 https://t.co/n2E9C0Bg02"
1266148994171863041,2020-05-28 23:26:58,This takes 2 seconds. Sign this please!! https://t.co/4pTM4e7qnl
1256757489577504768,2020-05-03 01:28:29,TWO YEARS IN A ROW!!! So so grateful yall have no idea. Thank you ❤️ https://t.co/RjbXqP06gf
1254929198113673216,2020-04-28 00:23:30,"Kids nowadays may have tiktok, but they’ll never have the Lilo and Stitch sandwich maker game!! https://t.co/DO9f0E28nz"
1253799712441827328,2020-04-24 21:35:20,"When this is all over ill get back to posting normally!! Until then heres a little something we did this week :)

https://t.co/K9aYlqZ4qd"
1252133243123634176,2020-04-20 07:13:23,Happy 4/20/20 🥺
1250919723644022784,2020-04-16 22:51:17,If youve ever thought about fostering a puppy! Do it!!! DO IT RIGHT NOW https://t.co/H092KumOpH
1248368159863816192,2020-04-09 21:52:17,9 years later and still the biggest regret of my life hahahahah https://t.co/fwLN26za1B
1244791736863354880,2020-03-31 01:00:51,@slavica771 @CashApp Thats not me!!
1243641803997188096,2020-03-27 20:51:26,If ya know anyone that needs some extra cash lmk their venmo and we’ll send something over :)
1224892872081543168,2020-02-05 03:09:52,@shhorty_ invite me next time wtf
1224499244981030913,2020-02-04 01:05:44,My friend has been drunk texting my assistant so I printed his texts out and put them on a billboard https://t.co/4cPmerX0N4
1224141818482135041,2020-02-03 01:25:27,I’m moving to Miami after that halftime show
1222641535558279169,2020-01-29 22:03:52,We flew to New Jersey to surprise her dad!! https://t.co/Z5gSE8qdal
1222027320640208896,2020-01-28 05:23:12,Does this mean my warranty is cancelled https://t.co/Ez3IHEaOVx
1222022292902793217,2020-01-28 05:03:13,These speed bumps in LA are on another level https://t.co/alWSHa5992
1219793546179465217,2020-01-22 01:26:58,Thank you for making my literal dreams come true @FallonTonight https://t.co/miROz7UzaS
1218975463252488197,2020-01-19 19:16:12,I fainted right after this https://t.co/ShGSgiHEKH
1217901575374426112,2020-01-16 20:08:57,My assistant since day one https://t.co/6FXTpr6X8U
1216120639091703808,2020-01-11 22:12:09,Surprising people with Justin Bieber https://t.co/ZZu7X1Vivw
1215015968688107520,2020-01-08 21:02:35,R y’all on crack https://t.co/S7jXD4vSKW
1213947778893668352,2020-01-05 22:17:59,My 10 year old brother has made it his mission to get everyone in our family to change our profile pictures to lego Star Wars characters hahah https://t.co/Jcrz4xf1D0
1212530775624564737,2020-01-02 00:27:19,"Here’s a snippet from my 2019 :)

Thank you for making this my job!!!

https://t.co/Yr2eqHYPjT https://t.co/9SWEW2L5bl"
1212170904114876416,2020-01-01 00:37:19,Natalie Portman walking by me for 3 seconds is still one of my favorite moments of 2019 https://t.co/zc9hiOB9Rq
1210738500263301120,2019-12-28 01:45:27,Hello guys I love everyone that supports me and shows me love. Truly. BUT PLEASE STOP COMING TO MY FUCKING HOUSE
1209869946060234753,2019-12-25 16:14:08,Merry christmas from us and Santa Paws https://t.co/aE57fUJsPq
1209619803759153153,2019-12-24 23:40:09,Zane finding out he didn’t win the Tesla giveaway Hahahah https://t.co/oTBQMSUMzw
1209614067113091074,2019-12-24 23:17:21,@beliebernicole8 HAHAHAHA
1208904609739268096,2019-12-23 00:18:13,NOT WITH THAT ATTITUDE https://t.co/cmMjagghek
1207798708965756928,2019-12-19 23:03:46,New world record science experiment!! https://t.co/qwanUwNSiT
1204184584776114176,2019-12-09 23:42:32,HAHAHAHA oh my god https://t.co/yAMFCjEpWQ
1194763197783277569,2019-11-13 23:45:18,Better luck next year boys https://t.co/6ye0KiwJdo
1194377061420425218,2019-11-12 22:10:56,@Skorp88 @DavidSpade I LOVE DAVID SPADE
1193756690094542854,2019-11-11 05:05:48,I WON A PEOPLES CHOICE AWARD AND this is crazy. I mean like seriously. You guys have showed my friends and I so much love and I don’t think anything will ever top that and I don’t think we’ll ever be able to say thank you enough. So here’s the first of many! THANK YOU 😊 https://t.co/PV3BatjcMP
